small,medium,small,small,Iris-setosa
medium,large,small,small,Iris-setosa
medium,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
medium,large,small,small,Iris-setosa
small,medium,small,small,Iris-setosa
small,small,small,small,Iris-setosa
medium,small,large,medium,Iris-virginica
large,large,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
large,small,large,large,Iris-virginica
large,large,large,large,Iris-virginica
large,large,large,large,Iris-virginica
medium,small,large,large,Iris-virginica
large,small,large,medium,Iris-virginica
small,small,medium,large,Iris-virginica
large,large,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
large,small,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
large,large,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
medium,small,large,large,Iris-virginica
medium,small,large,medium,Iris-virginica
large,medium,large,large,Iris-virginica
medium,medium,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
medium,large,large,large,Iris-virginica
medium,small,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
large,large,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
large,large,large,large,Iris-virginica
large,large,large,large,Iris-virginica
medium,medium,large,large,Iris-virginica
large,large,large,large,Iris-virginica
large,small,large,large,Iris-virginica
large,medium,large,large,Iris-virginica
medium,medium,medium,large,Iris-virginica
large,medium,large,large,Iris-virginica
medium,small,medium,medium,Iris-versicolor
large,medium,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
small,small,medium,medium,Iris-versicolor
small,small,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
large,large,medium,medium,Iris-versicolor
small,small,medium,medium,Iris-versicolor
medium,large,medium,medium,Iris-versicolor
medium,large,medium,large,Iris-versicolor
large,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
small,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
large,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
medium,small,large,large,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
large,medium,medium,medium,Iris-versicolor
large,large,medium,medium,Iris-versicolor
large,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
small,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
medium,small,medium,medium,Iris-versicolor
medium,medium,medium,medium,Iris-versicolor
large,medium,medium,medium,Iris-versicolor
